caseNumber,followUpID,passportNumber
1,123,S123qwe
2,123,G1234456g
3,abc,qwewqewqeqw
1912,1,a1
1913,2,a2
1914,3,a3
1915,4,a4
1916,5,a5
1917,6,a6
1918,7,a7
1919,8,a8
1920,9,a9
1921,10,a10
1922,11,a11
1923,12,a12
1924,13,a13
1925,14,a14
1926,15,a15
1927,16,a16
1928,17,a17
1929,18,a18
1930,19,a19
1931,20,a20
1932,21,a21
1933,22,a22
1934,23,a23
1935,24,a24
1936,25,a25
1937,26,a26
1938,27,a27
1939,28,a28
1940,29,a29
1941,30,a30
1942,31,a31
1943,32,a32
1944,33,a33
1945,34,a34
1946,35,a35
1947,36,a36
1948,37,a37
1949,38,a38
1950,39,a39
1951,40,a40
1952,41,a41
1953,42,a42
1954,43,a43
1955,44,a44
1956,45,a45
1957,46,a46
1958,47,a47
1959,48,a48
1960,49,a49
1961,50,a50
1962,51,a51
1963,52,a52
1964,53,a53
1965,54,a54
1966,55,a55
1967,56,a56
1968,57,a57
1969,58,a58
1970,59,a59
1971,60,a60
1972,61,a61
1973,62,a62
1974,63,a63
1975,64,a64
1976,65,a65
1977,66,a66
1978,67,a67
1979,68,a68
1980,69,a69
1981,70,a70
1982,71,a71
1983,72,a72
1984,73,a73
1985,74,a74
1986,75,a75
1987,76,a76
1988,77,a77
1989,78,a78
1990,79,a79
1991,80,a80
1992,81,a81
1993,82,a82
1994,83,a83
1995,84,a84
1996,85,a85
1997,86,a86
1998,87,a87
1999,88,a88
2000,89,a89
2001,90,a90
2002,91,a91
2003,92,a92
2004,93,a93
2005,94,a94
2006,95,a95
2007,96,a96
2008,97,a97
2009,98,a98
2010,99,a99
2011,100,a100
2012,101,a101
2013,102,a102
2014,103,a103
2015,104,a104
2016,105,a105
2017,106,a106
2018,107,a107
2019,108,a108
2020,109,a109
2021,110,a110
2022,111,a111
2023,112,a112
2024,113,a113
2025,114,a114
2026,115,a115
2027,116,a116
2028,117,a117
2029,118,a118
2030,119,a119
2031,120,a120
2032,121,a121
2033,122,a122
2034,123,a123
2035,124,a124
2036,125,a125
2037,126,a126
2038,127,a127
2039,128,a128
2040,129,a129
2041,130,a130
2042,131,a131
2043,132,a132
2044,133,a133
2045,134,a134
2046,135,a135
2047,136,a136
2048,137,a137
2049,138,a138
2050,139,a139
2051,140,a140
2052,141,a141
2053,142,a142
2054,143,a143
2055,144,a144
2056,145,a145
2057,146,a146
2058,147,a147
2059,148,a148
2060,149,a149
2061,150,a150
2062,151,a151
2063,152,a152
2064,153,a153
2065,154,a154
2066,155,a155
2067,156,a156
2068,157,a157
2069,158,a158
2070,159,a159
2071,160,a160
2072,161,a161
2073,162,a162
2074,163,a163
2075,164,a164
2076,165,a165
2077,166,a166
2078,167,a167
2079,168,a168
2080,169,a169
2081,170,a170
2082,171,a171
2083,172,a172
2084,173,a173
2085,174,a174
2086,175,a175
2087,176,a176
2088,177,a177
2089,178,a178
2090,179,a179
2091,180,a180
2092,181,a181
2093,182,a182
2094,183,a183
2095,184,a184
2096,185,a185
2097,186,a186
2098,187,a187
2099,188,a188
2100,189,a189
2101,190,a190
2102,191,a191
2103,192,a192
2104,193,a193
2105,194,a194
2106,195,a195
2107,196,a196
2108,197,a197
2109,198,a198
2110,199,a199
2111,200,a200
2112,201,a201
2113,202,a202
2114,203,a203
2115,204,a204
2116,205,a205
2117,206,a206
2118,207,a207
2119,208,a208
2120,209,a209
2121,210,a210
2122,211,a211
2123,212,a212
2124,213,a213
2125,214,a214
2126,215,a215
2127,216,a216
2128,217,a217
2129,218,a218
2130,219,a219
2131,220,a220
2132,221,a221
2133,222,a222
2134,223,a223
2135,224,a224
2136,225,a225
2137,226,a226
2138,227,a227
2139,228,a228
2140,229,a229
2141,230,a230
2142,231,a231
2143,232,a232
2144,233,a233
2145,234,a234
2146,235,a235
2147,236,a236
2148,237,a237
2149,238,a238
2150,239,a239
2151,240,a240
2152,241,a241
2153,242,a242
2154,243,a243
2155,244,a244
2156,245,a245
2157,246,a246
2158,247,a247
2159,248,a248
2160,249,a249
2161,250,a250
2162,251,a251
2163,252,a252
2164,253,a253
2165,254,a254
2166,255,a255
2167,256,a256
2168,257,a257
2169,258,a258
2170,259,a259
2171,260,a260
2172,261,a261
2173,262,a262
2174,263,a263
2175,264,a264
2176,265,a265
2177,266,a266
2178,267,a267
2179,268,a268
2180,269,a269
2181,270,a270
2182,271,a271
2183,272,a272
2184,273,a273
2185,274,a274
2186,275,a275
2187,276,a276
2188,277,a277
2189,278,a278
2190,279,a279
2191,280,a280
2192,281,a281
2193,282,a282
2194,283,a283
2195,284,a284
2196,285,a285
2197,286,a286
2198,287,a287
2199,288,a288
2200,289,a289
2201,290,a290
2202,291,a291
2203,292,a292
2204,293,a293
2205,294,a294
2206,295,a295
2207,296,a296
2208,297,a297
2209,298,a298
2210,299,a299
2211,300,a300
2212,301,a301
2213,302,a302
2214,303,a303
2215,304,a304
2216,305,a305
2217,306,a306
2218,307,a307
2219,308,a308
2220,309,a309
2221,310,a310
2222,311,a311
2223,312,a312
2224,313,a313
2225,314,a314
2226,315,a315
2227,316,a316
2228,317,a317
2229,318,a318
2230,319,a319
2231,320,a320
2232,321,a321
2233,322,a322
2234,323,a323
2235,324,a324
2236,325,a325
2237,326,a326
2238,327,a327
2239,328,a328
2240,329,a329
2241,330,a330
2242,331,a331
2243,332,a332
2244,333,a333
2245,334,a334
2246,335,a335
2247,336,a336
2248,337,a337
2249,338,a338
2250,339,a339
2251,340,a340
2252,341,a341
2253,342,a342
2254,343,a343
2255,344,a344
2256,345,a345
2257,346,a346
2258,347,a347
2259,348,a348
2260,349,a349
2261,350,a350
2262,351,a351
2263,352,a352
2264,353,a353
2265,354,a354
2266,355,a355
2267,356,a356
2268,357,a357
2269,358,a358
2270,359,a359
2271,360,a360
2272,361,a361
2273,362,a362
2274,363,a363
2275,364,a364
2276,365,a365
2277,366,a366
2278,367,a367
2279,368,a368
2280,369,a369
2281,370,a370
2282,371,a371
2283,372,a372
2284,373,a373
2285,374,a374
2286,375,a375
2287,376,a376
2288,377,a377
2289,378,a378
2290,379,a379
2291,380,a380
2292,381,a381
2293,382,a382
2294,383,a383
2295,384,a384
2296,385,a385
2297,386,a386
2298,387,a387
2299,388,a388
2300,389,a389
2301,390,a390
2302,391,a391
2303,392,a392
2304,393,a393
2305,394,a394
2306,395,a395
2307,396,a396
2308,397,a397
2309,398,a398
2310,399,a399
2311,400,a400
2312,401,a401
2313,402,a402
2314,403,a403
2315,404,a404
2316,405,a405
2317,406,a406
2318,407,a407
2319,408,a408
2320,409,a409
2321,410,a410
2322,411,a411
2323,412,a412
2324,413,a413
2325,414,a414
2326,415,a415
2327,416,a416
2328,417,a417
2329,418,a418
2330,419,a419
2331,420,a420
2332,421,a421
2333,422,a422
2334,423,a423
2335,424,a424
2336,425,a425
2337,426,a426
2338,427,a427
2339,428,a428
2340,429,a429
2341,430,a430
2342,431,a431
2343,432,a432
2344,433,a433
2345,434,a434
2346,435,a435
2347,436,a436
2348,437,a437
2349,438,a438
2350,439,a439
2351,440,a440
2352,441,a441
2353,442,a442
2354,443,a443
2355,444,a444
2356,445,a445
2357,446,a446
2358,447,a447
2359,448,a448
2360,449,a449
2361,450,a450
2362,451,a451
2363,452,a452
2364,453,a453
